"","x"
"847",18
"848",18
"849",18
"850",16
"851",18
"852",17
"853",0
"854",13
"855",0
"856",17
"857",16
"858",18
"859",18
"860",19
"861",17
"862",18
"863",17
"864",18
"865",18
"866",18
"867",0
"868",17
"869",0
"870",18
"871",17
"872",18
"873",18
"874",15
"875",18
"876",17
"877",18
"878",18
"879",17
"880",18
"881",16
"882",13
"883",18
"884",18
"885",17
"886",16
"887",18
"888",17
"889",17
"890",18
"891",15
"892",17
"893",18
"894",18
"895",18
"896",17
"897",18
"898",18
"899",18
"900",18
"901",17
"902",13
"903",13
"904",13
"905",18
"906",13
"907",19
"908",13
"909",19
"910",19
"911",18
"912",13
"913",18
"914",13
"915",13
"916",18
"917",18
"918",15
"919",13
"920",13
"921",13
"922",13
"923",18
"924",16
"925",13
"926",13
"927",13
"928",19
"929",0
"930",18
"931",13
"932",13
"933",19
"934",18
"935",0
"936",13
"937",18
"938",13
"939",13
"940",15
"941",18
"942",13
"943",19
"944",13
"945",15
"946",13
"947",13
"948",18
"949",13
"950",19
"951",19
"952",18
"953",13
"954",13
"955",13
"956",18
"957",19
"958",15
"959",16
"960",18
"961",13
"962",13
"963",15
"964",15
"965",13
"966",13
"967",19
"968",15
"969",13
"970",13
"971",13
"972",15
"973",15
"974",13
"975",15
"976",13
"977",18
"978",15
"979",18
"980",13
"981",15
"982",18
"983",13
"984",13
"985",19
"986",13
"987",13
"988",13
"989",13
"990",18
"991",18
"992",13
"993",13
"994",0
"995",13
"996",13
"997",18
"998",16
"999",18
"1000",19
"1001",15
"1002",17
"1003",13
"1004",19
"1005",17
"1006",13
"1007",13
"1008",13
"1009",13
"1010",18
"1011",18
"1012",13
"1013",17
"1014",13
"1015",13
"1016",16
"1017",17
"1018",15
"1019",19
"1020",15
"1021",13
"1022",18
"1023",18
"1024",18
"1025",19
"1026",19
"1027",0
"1028",16
"1029",18
"1030",13
"1031",15
"1032",19
"1033",13
"1034",13
"1035",13
"1036",13
"1037",18
"1038",16
"1039",0
"1040",19
"1041",17
"1042",17
"1043",13
"1044",15
"1045",13
"1046",18
"1047",13
"1048",19
"1049",15
"1050",13
"1051",15
"1052",15
"1053",13
"1054",17
"1055",13
"1056",18
"1057",16
"1058",13
"1059",18
"1060",13
"1061",13
"1062",16
"1063",13
"1064",13
"1065",19
"1066",16
"1067",18
"1068",13
"1069",15
"1070",17
"1071",13
"1072",19
"1073",18
"1074",15
"1075",17
"1076",13
"1077",0
"1078",19
"1079",13
"1080",17
"1081",13
"1082",19
"1083",18
"1084",13
"1085",18
"1086",13
"1087",18
"1088",18
"1089",19
"1090",18
"1091",0
"1092",17
"1093",13
"1094",16
"1095",13
"1096",19
"1097",13
"1098",13
"1099",13
"1100",19
"1101",13
"1102",13
"1103",13
"1104",19
"1105",13
"1106",13
"1107",19
"1108",13
"1109",18
"1110",13
"1111",13
"1112",19
"1113",17
"1114",13
"1115",17
"1116",13
"1117",13
"1118",13
"1119",13
"1120",13
"1121",13
"1122",13
"1123",13
"1124",15
"1125",16
"1126",13
"1127",13
"1128",18
"1129",13
"1130",13
"1131",19
"1132",13
"1133",19
"1134",13
"1135",18
"1136",13
"1137",15
"1138",18
"1139",13
"1140",13
"1141",13
"1142",15
"1143",13
"1144",13
"1145",13
"1146",13
"1147",13
"1148",13
"1149",13
"1150",13
"1151",13
"1152",17
"1153",19
"1154",13
"1155",19
"1156",18
"1157",13
"1158",13
"1159",13
"1160",13
"1161",18
"1162",13
"1163",15
"1164",17
"1165",13
"1166",18
"1167",19
"1168",15
"1169",13
"1170",18
"1171",13
"1172",15
"1173",13
"1174",0
"1175",0
"1176",0
"1177",18
"1178",0
"1179",13
"1180",17
"1181",17
"1182",17
"1183",13
"1184",18
"1185",18
"1186",13
"1187",13
"1188",19
"1189",18
"1190",13
"1191",13
"1192",18
"1193",15
"1194",17
"1195",18
"1196",19
"1197",13
"1198",18
"1199",18
"1200",18
"1201",18
"1202",18
"1203",18
"1204",13
"1205",19
"1206",13
"1207",13
"1208",19
"1209",13
"1210",13
"1211",13
"1212",13
"1213",17
"1214",13
"1215",13
"1216",19
"1217",13
"1218",13
"1219",13
"1220",13
"1221",17
"1222",13
"1223",13
"1224",13
"1225",13
"1226",13
"1227",15
"1228",13
"1229",19
"1230",15
"1231",13
"1232",19
"1233",13
"1234",13
"1235",13
"1236",13
"1237",13
"1238",13
"1239",13
"1240",13
"1241",19
"1242",13
"1243",19
"1244",19
"1245",13
"1246",13
"1247",13
"1248",13
"1249",13
"1250",13
"1251",15
"1252",15
"1253",13
"1254",19
"1255",19
"1256",13
"1257",19
"1258",13
"1259",13
"1260",19
"1261",19
"1262",19
"1263",19
"1264",13
"1265",15
"1266",13
"1267",13
"1268",19
"1269",13
"1270",15
"1271",13
"1272",13
"1273",19
"1274",13
"1275",13
"1276",19
"1277",13
"1278",13
"1279",13
"1280",13
"1281",18
"1282",13
"1283",13
"1284",13
"1285",13
"1286",13
"1287",19
"1288",13
"1289",15
"1290",13
"1291",15
"1292",13
"1293",13
"1294",19
"1295",19
"1296",13
"1297",15
"1298",13
"1299",17
"1300",13
"1301",13
"1302",13
"1303",13
"1304",15
"1305",13
"1306",13
"1307",13
"1308",13
"1309",13
"1310",13
"1311",13
"1312",13
"1313",19
"1314",13
"1315",18
"1316",13
"1317",13
"1318",15
"1319",18
"1320",13
"1321",15
"1322",19
"1323",13
"1324",19
"1325",13
"1326",13
"1327",18
"1328",13
"1329",13
"1330",13
"1331",13
"1332",13
"1333",19
"1334",13
"1335",13
"1336",15
"1337",13
"1338",15
"1339",18
"1340",13
"1341",13
"1342",13
"1343",19
"1344",15
"1345",13
"1346",13
"1347",19
"1348",13
"1349",15
"1350",15
"1351",15
"1352",13
"1353",13
"1354",13
"1355",13
"1356",13
"1357",13
"1358",13
"1359",13
"1360",13
"1361",13
"1362",19
"1363",13
"1364",13
"1365",13
"1366",13
"1367",13
"1368",13
"1369",15
"1370",13
"1371",13
"1372",13
"1373",13
"1374",18
"1375",19
"1376",19
"1377",13
"1378",13
"1379",19
"1380",13
"1381",19
"1382",13
"1383",19
"1384",13
"1385",13
"1386",13
"1387",13
"1388",15
"1389",15
"1390",13
"1391",15
"1392",13
"1393",13
"1394",13
"1395",13
"1396",15
"1397",13
"1398",13
"1399",13
"1400",19
"1401",13
"1402",17
"1403",15
"1404",13
"1405",13
"1406",19
"1407",13
"1408",13
"1409",13
"1410",13
"1411",13
"1412",13
"1413",13
"1414",13
"1415",13
"1416",13
"1417",18
"1418",13
"1419",13
"1420",13
"1421",19
"1422",13
"1423",15
"1424",13
"1425",13
"1426",13
"1427",13
"1428",13
"1429",17
"1430",19
"1431",13
"1432",15
"1433",19
"1434",19
"1435",19
"1436",15
"1437",18
"1438",19
"1439",13
"1440",13
"1441",15
"1442",13
"1443",13
"1444",13
"1445",19
"1446",19
"1447",13
"1448",13
"1449",15
"1450",13
"1451",13
"1452",19
"1453",13
"1454",19
"1455",13
"1456",13
"1457",13
"1458",15
"1459",13
"1460",19
"1461",15
"1462",13
"1463",13
"1464",16
"1465",13
"1466",15
"1467",15
"1468",16
"1469",13
"1470",13
"1471",15
"1472",13
"1473",19
"1474",13
"1475",13
"1476",13
"1477",13
"1478",13
"1479",19
"1480",13
"1481",13
"1482",13
"1483",13
"1484",13
"1485",17
"1486",19
"1487",13
"1488",13
"1489",13
"1490",19
"1491",13
"1492",19
"1493",13
"1494",13
"1495",13
"1496",13
"1497",13
"1498",13
"1499",13
"1500",13
"1501",13
"1502",18
"1503",13
"1504",13
"1505",13
"1506",15
"1507",19
"1508",15
"1509",13
"1510",15
"1511",13
"1512",13
"1513",13
"1514",18
"1515",16
"1516",13
"1517",13
"1518",13
"1519",18
"1520",13
"1521",18
"1522",13
"1523",13
"1524",13
"1525",13
"1526",13
"1527",15
"1528",13
"1529",18
"1530",13
"1531",19
"1532",13
"1533",19
"1534",13
"1535",13
"1536",19
"1537",13
"1538",19
"1539",13
"1540",13
"1541",19
"1542",13
"1543",13
"1544",13
"1545",13
"1546",15
"1547",19
"1548",13
"1549",17
"1550",13
"1551",13
"1552",18
"1553",13
"1554",13
"1555",13
"1556",19
"1557",13
"1558",18
"1559",13
"1560",13
"1561",13
"1562",13
"1563",13
"1564",15
"1565",18
"1566",15
"1567",19
"1568",13
"1569",19
"1570",13
"1571",13
"1572",13
"1573",13
"1574",13
"1575",18
"1576",13
"1577",13
"1578",19
"1579",13
"1580",19
"1581",13
"1582",15
"1583",13
"1584",19
"1585",13
"1586",19
"1587",15
"1588",13
"1589",17
"1590",13
"1591",13
"1592",13
"1593",13
"1594",13
"1595",13
"1596",13
"1597",15
"1598",13
"1599",13
"1600",17
"1601",15
"1602",13
"1603",13
"1604",13
"1605",13
"1606",13
"1607",13
"1608",13
"1609",15
"1610",13
"1611",13
"1612",13
"1613",0
"1614",19
"1615",19
"1616",15
"1617",13
"1618",13
"1619",13
"1620",13
"1621",13
"1622",13
"1623",13
"1624",13
"1625",15
"1626",19
"1627",13
"1628",15
"1629",19
"1630",19
"1631",19
"1632",13
"1633",13
"1634",13
"1635",13
"1636",13
"1637",19
"1638",19
"1639",13
"1640",13
"1641",13
"1642",15
"1643",15
"1644",13
"1645",13
"1646",13
"1647",18
"1648",13
"1649",13
"1650",13
"1651",13
"1652",13
"1653",13
"1654",13
"1655",13
"1656",13
"1657",13
"1658",13
"1659",13
"1660",13
"1661",13
"1662",13
"1663",18
"1664",18
"1665",13
"1666",19
"1667",13
"1668",19
"1669",15
"1670",19
"1671",18
"1672",18
"1673",17
"1674",13
"1675",13
"1676",13
"1677",13
"1678",13
"1679",13
"1680",13
"1681",18
"1682",13
"1683",18
"1684",19
"1685",13
"1686",13
"1687",13
"1688",13
"1689",15
"1690",15
"1691",17
"1692",15
"1693",13
"1694",13
"1695",13
"1696",13
"1697",13
"1698",13
"1699",13
"1700",13
"1701",15
"1702",13
"1703",13
"1704",19
"1705",15
"1706",13
"1707",13
"1708",19
"1709",13
"1710",15
"1711",13
"1712",13
"1713",15
"1714",13
"1715",13
"1716",15
"1717",18
"1718",18
"1719",13
"1720",13
"1721",13
"1722",13
"1723",13
"1724",13
"1725",18
"1726",19
"1727",13
"1728",13
"1729",17
"1730",13
"1731",13
"1732",19
"1733",13
"1734",13
"1735",19
"1736",13
"1737",13
"1738",15
"1739",13
"1740",19
"1741",13
"1742",13
"1743",13
"1744",13
"1745",17
"1746",19
"1747",13
"1748",0
"1749",19
"1750",13
"1751",13
"1752",17
"1753",13
"1754",13
"1755",19
"1756",13
"1757",13
"1758",13
"1759",15
"1760",13
"1761",13
"1762",13
"1763",13
"1764",15
"1765",13
"1766",19
"1767",13
"1768",13
"1769",15
"1770",17
"1771",13
"1772",13
"1773",13
"1774",18
"1775",15
"1776",13
"1777",13
"1778",19
"1779",19
"1780",13
"1781",0
"1782",13
"1783",13
"1784",19
"1785",18
"1786",13
"1787",19
"1788",13
"1789",13
"1790",13
"1791",19
"1792",13
"1793",13
"1794",13
"1795",13
"1796",19
"1797",13
"1798",13
"1799",19
"1800",13
"1801",15
"1802",13
"1803",15
"1804",15
"1805",15
"1806",15
"1807",13
"1808",15
"1809",15
"1810",13
"1811",19
"1812",15
"1813",19
"1814",18
"1815",13
"1816",18
"1817",5
"1818",13
"1819",13
"1820",15
"1821",13
"1822",13
"1823",19
"1824",15
"1825",18
"1826",13
"1827",15
"1828",13
"1829",13
"1830",15
"1831",15
"1832",15
"1833",13
"1834",15
"1835",15
"1836",15
"1837",15
"1838",13
"1839",15
"1840",13
"1841",13
"1842",13
"1843",15
"1844",19
"1845",15
"1846",13
"1847",13
"1848",15
"1849",15
"1850",15
"1851",15
"1852",13
"1853",15
"1854",15
"1855",15
"1856",15
"1857",16
"1858",15
"1859",19
"1860",13
"1861",15
"1862",15
"1863",13
"1864",15
"1865",13
"1866",15
"1867",15
"1868",13
"1869",13
"1870",13
"1871",13
"1872",15
"1873",13
"1874",13
"1875",15
"1876",15
"1877",15
"1878",15
"1879",13
"1880",13
"1881",13
"1882",13
"1883",15
"1884",15
"1885",15
"1886",16
"1887",13
"1888",19
"1889",15
"1890",15
"1891",13
"1892",13
"1893",13
"1894",13
"1895",13
"1896",15
"1897",15
"1898",13
"1899",13
"1900",13
"1901",15
"1902",13
"1903",13
"1904",13
"1905",13
"1906",13
"1907",13
"1908",15
"1909",13
"1910",13
"1911",15
"1912",15
"1913",15
"1914",13
"1915",13
"1916",17
"1917",19
"1918",13
"1919",13
"1920",15
"1921",15
"1922",13
"1923",13
"1924",13
"1925",15
"1926",15
"1927",13
"1928",13
"1929",13
"1930",13
"1931",19
"1932",18
"1933",15
"1934",13
"1935",13
"1936",13
"1937",16
"1938",13
"1939",13
"1940",13
"1941",15
"1942",15
"1943",15
"1944",13
"1945",13
"1946",19
"1947",13
"1948",15
"1949",15
"1950",13
"1951",15
"1952",15
"1953",15
"1954",15
"1955",15
"1956",19
"1957",13
"1958",15
"1959",15
"1960",19
"1961",15
"1962",13
"1963",15
"1964",13
"1965",13
"1966",13
"1967",15
"1968",13
"1969",15
"1970",13
"1971",13
"1972",13
"1973",19
"1974",15
"1975",13
"1976",19
"1977",15
"1978",15
"1979",13
"1980",15
"1981",13
"1982",13
"1983",18
"1984",13
"1985",15
"1986",15
"1987",13
"1988",19
"1989",15
"1990",19
"1991",19
"1992",15
"1993",13
"1994",15
"1995",13
"1996",15
"1997",13
"1998",13
"1999",13
"2000",13
"2001",15
"2002",15
"2003",13
"2004",15
"2005",19
"2006",17
"2007",19
"2008",13
"2009",13
"2010",19
"2011",13
"2012",13
"2013",15
"2014",13
"2015",13
"2016",13
"2017",13
"2018",16
"2019",16
"2020",13
"2021",15
"2022",15
"2023",15
"2024",13
"2025",15
"2026",15
"2027",13
"2028",15
"2029",13
"2030",18
"2031",15
"2032",13
"2033",15
"2034",15
"2035",15
"2036",13
"2037",13
"2038",13
"2039",13
"2040",15
"2041",15
"2042",15
"2043",13
"2044",13
"2045",13
"2046",17
"2047",15
"2048",13
"2049",15
"2050",15
"2051",13
"2052",18
"2053",13
"2054",13
"2055",15
"2056",13
"2057",15
"2058",15
"2059",13
"2060",18
"2061",13
"2062",19
"2063",13
"2064",15
"2065",13
"2066",15
"2067",15
"2068",19
"2069",13
"2070",15
"2071",15
"2072",15
"2073",15
"2074",15
"2075",19
"2076",18
"2077",15
"2078",15
"2079",13
"2080",15
"2081",13
"2082",13
"2083",15
"2084",15
"2085",13
"2086",13
"2087",13
"2088",15
"2089",15
"2090",19
"2091",15
"2092",13
"2093",18
"2094",13
"2095",13
"2096",15
"2097",15
"2098",13
"2099",19
"2100",13
"2101",15
"2102",15
"2103",15
"2104",15
"2105",15
"2106",15
"2107",15
"2108",15
"2109",15
"2110",15
"2111",15
"2112",15
"2113",19
"2114",15
"2115",15
"2116",15
"2117",15
"2118",15
"2119",15
"2120",15
"2121",15
"2122",15
"2123",15
"2124",15
"2125",15
"2126",15
"2127",15
"2128",15
"2129",5
"2130",19
"2131",15
"2132",13
"2133",15
"2134",15
"2135",15
"2136",15
"2137",15
"2138",15
"2139",15
"2140",15
"2141",15
"2142",15
"2143",15
"2144",15
"2145",15
"2146",15
"2147",15
"2148",19
"2149",15
"2150",19
"2151",15
"2152",15
"2153",15
"2154",15
"2155",15
"2156",15
"2157",15
"2158",15
"2159",15
"2160",15
"2161",15
"2162",15
"2163",15
"2164",15
"2165",15
"2166",15
"2167",15
"2168",15
"2169",15
"2170",15
"2171",15
"2172",15
"2173",15
"2174",15
"2175",15
"2176",15
"2177",15
"2178",15
"2179",5
"2180",15
"2181",15
"2182",15
"2183",15
"2184",15
"2185",15
"2186",15
"2187",15
"2188",15
"2189",15
"2190",15
"2191",15
"2192",15
"2193",13
"2194",15
"2195",15
"2196",15
"2197",15
"2198",15
"2199",15
"2200",15
"2201",13
"2202",15
"2203",15
"2204",15
"2205",15
"2206",15
"2207",15
"2208",15
"2209",15
"2210",15
"2211",16
"2212",15
"2213",15
"2214",15
"2215",15
"2216",15
"2217",15
"2218",15
"2219",15
"2220",15
"2221",15
"2222",15
"2223",15
"2224",15
"2225",15
"2226",15
"2227",15
"2228",13
"2229",15
"2230",15
"2231",15
"2232",15
"2233",15
"2234",15
"2235",15
"2236",15
"2237",15
"2238",13
"2239",5
"2240",15
"2241",15
"2242",19
"2243",15
"2244",15
"2245",15
"2246",15
"2247",15
"2248",13
"2249",15
"2250",15
"2251",15
"2252",15
"2253",13
"2254",15
"2255",15
"2256",15
"2257",15
"2258",15
"2259",15
"2260",15
"2261",13
"2262",15
"2263",15
"2264",15
"2265",15
"2266",15
"2267",13
"2268",15
"2269",15
"2270",15
"2271",15
"2272",13
"2273",15
"2274",15
"2275",15
"2276",15
"2277",15
"2278",15
"2279",15
"2280",15
"2281",15
"2282",15
"2283",15
"2284",15
"2285",15
"2286",16
"2287",15
"2288",15
"2289",19
"2290",15
"2291",15
"2292",15
"2293",15
"2294",15
"2295",15
"2296",13
"2297",15
"2298",13
"2299",15
"2300",15
"2301",15
"2302",15
"2303",15
"2304",15
"2305",15
"2306",15
"2307",15
"2308",15
"2309",15
"2310",15
"2311",15
"2312",15
"2313",15
"2314",15
"2315",15
"2316",15
"2317",15
"2318",15
"2319",15
"2320",15
"2321",15
"2322",15
"2323",15
"2324",15
"2325",15
"2326",15
"2327",15
"2328",15
"2329",15
"2330",15
"2331",15
"2332",15
"2333",15
"2334",15
"2335",15
"2336",15
"2337",15
"2338",15
"2339",15
"2340",15
"2341",15
"2342",15
"2343",15
"2344",15
"2345",15
"2346",15
"2347",13
"2348",15
"2349",13
"2350",15
"2351",15
"2352",19
"2353",15
"2354",15
"2355",15
"2356",15
"2357",15
"2358",15
"2359",15
"2360",15
"2361",15
"2362",15
"2363",15
"2364",15
"2365",15
"2366",15
"2367",15
"2368",13
"2369",15
"2370",15
"2371",15
"2372",15
"2373",15
"2374",15
"2375",15
"2376",19
"2377",15
"2378",13
"2379",13
"2380",15
"2381",15
"2382",15
"2383",15
"2384",15
"2385",15
"2386",5
"2387",15
"2388",13
"2389",19
"2390",15
"2391",15
"2392",15
"2393",15
"2394",15
"2395",15
"2396",15
"2397",15
"2398",15
"2399",15
"2400",15
"2401",19
"2402",15
"2403",15
"2404",15
"2405",15
"2406",15
"2407",15
"2408",15
"2409",15
"2410",15
"2411",15
"2412",15
"2413",15
"2414",15
"2415",15
"2416",15
"2417",15
"2418",15
"2419",15
"2420",15
"2421",15
"2422",15
"2423",15
"2424",15
"2425",15
"2426",15
"2427",16
"2428",15
"2429",15
"2430",15
"2431",15
"2432",15
"2433",15
"2434",15
"2435",15
"2436",15
"2437",15
"2438",15
"2439",15
"2440",15
"2441",15
"2442",15
"2443",15
"2444",5
"2445",15
"2446",15
"2447",15
"2448",15
"2449",15
"2450",15
"2451",15
"2452",15
"2453",13
"2454",15
"2455",15
"2456",15
"2457",15
"2458",15
"2459",15
"2460",15
"2461",15
"2462",15
"2463",15
"2464",15
"2465",15
"2466",15
"2467",15
"2468",15
"2469",15
"2470",15
"2471",15
"2472",15
"2473",15
"2474",15
"2475",15
"2476",15
"2477",15
"2478",15
"2479",19
"2480",13
"2481",15
"2482",15
"2483",16
"2484",15
"2485",15
"2486",15
"2487",15
"2488",13
"2489",15
"2490",15
"2491",15
"2492",15
"2493",15
"2494",15
"2495",15
"2496",19
"2497",15
"2498",15
