"","V1A11","V1A12","V1A13","V1A14","V2","V3A31","V3A32","V3A33","V3A34","V4A41","V4A410","V4A42","V4A43","V4A44","V4A45","V4A46","V4A48","V4A49","V5","V6A62","V6A63","V6A64","V6A65","V7A72","V7A73","V7A74","V7A75","V8","V9A92","V9A93","V9A94","V10A102","V10A103","V11","V12A122","V12A123","V12A124","V13","V14A142","V14A143","V15A152","V15A153","V16","V17A172","V17A173","V17A174","V18","V19A192","V20A202"
"23",1,0,0,0,10,0,0,0,1,0,0,0,0,0,0,0,0,0,2241,0,0,0,0,1,0,0,0,1,0,1,0,0,0,3,0,0,0,48,0,1,0,0,2,1,0,0,2,0,1
"24",0,1,0,0,12,0,0,0,1,1,0,0,0,0,0,0,0,0,1804,1,0,0,0,1,0,0,0,3,0,1,0,0,0,4,1,0,0,44,0,1,1,0,1,0,1,0,1,0,0
"25",0,0,0,1,10,0,0,0,1,0,0,1,0,0,0,0,0,0,2069,0,0,0,1,0,1,0,0,2,0,0,1,0,0,1,0,1,0,26,0,1,1,0,2,0,1,0,1,0,1
"26",1,0,0,0,6,0,1,0,0,0,0,1,0,0,0,0,0,0,1374,0,0,0,0,0,1,0,0,1,0,1,0,0,0,2,0,0,0,36,0,0,1,0,1,1,0,0,1,1,0
"27",0,0,0,1,6,0,0,0,0,0,0,0,1,0,0,0,0,0,426,0,0,0,0,0,0,0,1,4,0,0,1,0,0,4,0,1,0,39,0,1,1,0,1,1,0,0,1,0,0
"28",0,0,1,0,12,1,0,0,0,0,0,0,1,0,0,0,0,0,409,0,0,1,0,0,1,0,0,3,1,0,0,0,0,3,0,0,0,42,0,1,0,0,2,0,1,0,1,0,0
"29",0,1,0,0,7,0,1,0,0,0,0,0,1,0,0,0,0,0,2415,0,0,0,0,0,1,0,0,3,0,1,0,0,1,2,0,0,0,34,0,1,1,0,1,0,1,0,1,0,0
"30",1,0,0,0,60,0,0,1,0,0,0,0,0,0,0,0,0,1,6836,0,0,0,0,0,0,0,1,3,0,1,0,0,0,4,0,0,1,63,0,1,1,0,2,0,1,0,1,1,0
"31",0,1,0,0,18,0,1,0,0,0,0,0,0,0,0,0,0,1,1913,0,0,1,0,1,0,0,0,3,0,0,1,0,0,3,0,0,0,36,0,0,1,0,1,0,1,0,1,1,0
"32",1,0,0,0,24,0,1,0,0,0,0,1,0,0,0,0,0,0,4020,0,0,0,0,0,1,0,0,2,0,1,0,0,0,2,0,1,0,27,1,0,1,0,1,0,1,0,1,0,0
"33",0,1,0,0,18,0,1,0,0,0,0,0,0,0,0,0,0,0,5866,1,0,0,0,0,1,0,0,2,0,1,0,0,0,2,0,1,0,30,0,1,1,0,2,0,1,0,1,1,0
"34",0,0,0,1,12,0,0,0,1,0,0,0,0,0,0,0,0,1,1264,0,0,0,1,0,0,0,1,4,0,1,0,0,0,4,0,0,1,57,0,1,0,0,1,1,0,0,1,0,0
"35",0,0,1,0,12,0,1,0,0,0,0,1,0,0,0,0,0,0,1474,0,0,0,0,1,0,0,0,4,1,0,0,0,0,1,1,0,0,33,0,0,1,0,1,0,0,1,1,1,0
"36",0,1,0,0,45,0,0,0,1,0,0,0,1,0,0,0,0,0,4746,0,0,0,0,1,0,0,0,4,0,1,0,0,0,2,1,0,0,25,0,1,1,0,2,1,0,0,1,0,0
"37",0,0,0,1,48,0,0,0,1,0,0,0,0,0,0,1,0,0,6110,0,0,0,0,0,1,0,0,1,0,1,0,0,0,3,0,0,1,31,0,0,0,1,1,0,1,0,1,1,0
"38",0,0,1,0,18,0,1,0,0,0,0,0,1,0,0,0,0,0,2100,0,0,0,0,0,1,0,0,4,0,1,0,1,0,2,0,0,0,37,1,0,1,0,1,0,1,0,1,0,0
"39",0,0,1,0,10,0,1,0,0,0,0,0,0,1,0,0,0,0,1225,0,0,0,0,0,1,0,0,2,0,1,0,0,0,2,0,1,0,37,0,1,1,0,1,0,1,0,1,1,0
"40",0,1,0,0,9,0,1,0,0,0,0,0,1,0,0,0,0,0,458,0,0,0,0,0,1,0,0,4,0,1,0,0,0,3,0,0,0,24,0,1,1,0,1,0,1,0,1,0,0
"41",0,0,0,1,30,0,1,0,0,0,0,0,1,0,0,0,0,0,2333,0,1,0,0,0,0,0,1,4,0,1,0,0,0,2,0,1,0,30,0,0,1,0,1,0,0,1,1,0,0
"42",0,1,0,0,12,0,1,0,0,0,0,0,1,0,0,0,0,0,1158,0,1,0,0,0,1,0,0,3,0,0,0,0,0,1,0,1,0,26,0,1,1,0,1,0,1,0,1,1,0
"43",0,1,0,0,18,0,0,1,0,0,0,0,0,0,1,0,0,0,6204,0,0,0,0,0,1,0,0,2,0,1,0,0,0,4,0,0,0,44,0,1,1,0,1,1,0,0,2,1,0
"44",1,0,0,0,30,0,0,0,1,1,0,0,0,0,0,0,0,0,6187,1,0,0,0,0,0,1,0,1,0,0,1,0,0,4,0,1,0,24,0,1,0,0,2,0,1,0,1,0,0
"45",1,0,0,0,48,0,0,0,1,1,0,0,0,0,0,0,0,0,6143,0,0,0,0,0,0,0,1,4,1,0,0,0,0,4,0,0,1,58,1,0,0,1,2,1,0,0,1,0,0
"46",0,0,0,1,11,0,0,0,1,0,0,0,0,0,0,0,0,0,1393,0,0,0,0,1,0,0,0,4,1,0,0,0,0,4,0,1,0,35,0,1,1,0,2,0,0,1,1,0,0
"47",0,0,0,1,36,0,1,0,0,0,0,0,1,0,0,0,0,0,2299,0,1,0,0,0,0,0,1,4,0,1,0,0,0,4,0,1,0,39,0,1,1,0,1,0,1,0,1,0,0
"48",1,0,0,0,6,0,1,0,0,1,0,0,0,0,0,0,0,0,1352,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2,1,0,0,23,0,1,0,0,1,0,0,0,1,1,0
"49",0,0,0,1,11,0,0,0,1,0,0,0,0,0,0,0,0,0,7228,0,0,0,0,0,1,0,0,1,0,1,0,0,0,4,1,0,0,39,0,1,1,0,2,1,0,0,1,0,0
"50",0,0,0,1,12,0,1,0,0,0,0,0,1,0,0,0,0,0,2073,1,0,0,0,0,1,0,0,4,1,0,0,1,0,2,0,0,0,28,0,1,1,0,1,0,1,0,1,0,0
"51",0,1,0,0,24,0,0,1,0,0,0,1,0,0,0,0,0,0,2333,0,0,0,1,1,0,0,0,4,0,1,0,0,0,2,1,0,0,29,0,0,1,0,1,1,0,0,1,0,0
"52",0,1,0,0,27,0,0,1,0,1,0,0,0,0,0,0,0,0,5965,0,0,0,0,0,0,0,1,1,0,1,0,0,0,2,0,1,0,30,0,1,1,0,2,0,0,1,1,1,0
"53",0,0,0,1,12,0,1,0,0,0,0,0,1,0,0,0,0,0,1262,0,0,0,0,0,1,0,0,3,0,1,0,0,0,2,0,1,0,25,0,1,1,0,1,0,1,0,1,0,0
"54",0,0,0,1,18,0,1,0,0,1,0,0,0,0,0,0,0,0,3378,0,0,0,1,0,1,0,0,2,0,1,0,0,0,1,1,0,0,31,0,1,1,0,1,0,1,0,1,1,0
"55",0,1,0,0,36,0,0,1,0,0,0,0,0,0,0,0,0,0,2225,0,0,0,0,0,0,0,1,4,0,1,0,0,0,4,0,0,1,57,0,0,0,1,2,0,1,0,1,1,0
"56",0,0,0,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,783,0,0,0,1,0,1,0,0,1,0,1,0,0,1,2,0,0,0,26,1,0,1,0,1,1,0,0,2,0,0
"57",0,1,0,0,12,0,1,0,0,0,0,0,1,0,0,0,0,0,6468,0,0,0,1,0,0,0,0,2,0,1,0,0,0,1,0,0,1,52,0,1,1,0,1,0,0,1,1,1,0
"58",0,0,0,1,36,0,0,0,1,0,0,0,1,0,0,0,0,0,9566,0,0,0,0,0,1,0,0,2,1,0,0,0,0,2,0,1,0,31,1,0,1,0,2,0,1,0,1,0,0
"59",0,0,1,0,18,0,1,0,0,0,0,0,0,0,0,0,0,0,1961,0,0,0,0,0,0,0,1,3,1,0,0,0,0,2,0,1,0,23,0,1,1,0,1,0,0,1,1,0,0
"60",1,0,0,0,36,0,0,0,1,0,0,1,0,0,0,0,0,0,6229,0,0,0,0,1,0,0,0,4,1,0,0,1,0,4,0,0,1,23,0,1,0,0,2,1,0,0,1,1,0
"61",0,1,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,1,1391,0,0,0,0,0,1,0,0,2,0,0,1,0,0,1,0,0,0,27,0,0,1,0,1,0,1,0,1,1,0
"62",0,1,0,0,15,0,0,0,1,0,0,0,1,0,0,0,0,0,1537,0,0,0,1,0,0,0,1,4,0,1,0,0,1,4,0,0,0,50,0,1,1,0,2,0,1,0,1,1,0
"63",0,1,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,1,1953,0,0,0,0,0,0,0,1,4,0,1,0,0,0,4,0,0,1,61,0,1,0,1,1,0,0,1,1,1,0
"64",0,1,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,1,14421,0,0,0,0,0,1,0,0,2,0,1,0,0,0,2,0,1,0,25,0,1,1,0,1,0,1,0,1,1,0
"65",0,0,0,1,24,0,1,0,0,0,0,0,1,0,0,0,0,0,3181,0,0,0,0,1,0,0,0,4,1,0,0,0,0,4,1,0,0,26,0,1,1,0,1,0,1,0,1,1,0
"66",0,0,0,1,27,0,1,0,0,0,0,0,0,0,1,0,0,0,5190,0,0,0,1,0,0,0,1,4,0,1,0,0,0,4,1,0,0,48,0,1,1,0,4,0,1,0,2,1,0
"67",0,0,0,1,12,0,1,0,0,0,0,0,1,0,0,0,0,0,2171,0,0,0,0,1,0,0,0,2,1,0,0,0,0,2,0,1,0,29,0,0,1,0,1,0,1,0,1,0,0
"68",0,1,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,1007,0,0,1,0,0,1,0,0,4,0,0,1,0,0,1,0,0,0,22,0,1,1,0,1,0,1,0,1,0,0
"69",0,0,0,1,36,0,1,0,0,0,0,0,0,0,0,1,0,0,1819,0,0,0,0,0,1,0,0,4,0,1,0,0,0,4,0,0,1,37,1,0,0,1,1,0,1,0,1,1,0
"70",0,0,0,1,36,0,1,0,0,0,0,0,1,0,0,0,0,0,2394,0,0,0,1,0,1,0,0,4,1,0,0,0,0,4,0,1,0,25,0,1,1,0,1,0,1,0,1,0,0
"71",0,0,0,1,36,0,1,0,0,1,0,0,0,0,0,0,0,0,8133,0,0,0,0,0,1,0,0,1,1,0,0,0,0,2,1,0,0,30,0,0,1,0,1,0,1,0,1,0,0
"72",0,0,0,1,7,0,0,0,1,0,0,0,1,0,0,0,0,0,730,0,0,0,1,0,0,0,1,4,0,1,0,0,0,2,1,0,0,46,0,1,0,0,2,1,0,0,1,1,0
"73",1,0,0,0,8,0,0,0,1,0,1,0,0,0,0,0,0,0,1164,0,0,0,0,0,0,0,1,3,0,1,0,0,0,4,0,0,1,51,0,0,0,1,2,0,0,1,2,1,0
"74",0,1,0,0,42,0,0,0,1,0,0,0,0,0,0,0,0,1,5954,0,0,0,0,0,0,1,0,2,1,0,0,0,0,1,0,0,0,41,0,0,1,0,2,1,0,0,1,0,0
"75",1,0,0,0,36,0,1,0,0,0,0,0,0,0,0,1,0,0,1977,0,0,0,1,0,0,0,1,4,0,1,0,0,0,4,0,0,1,40,0,1,1,0,1,0,0,1,1,1,0
"76",1,0,0,0,12,0,0,0,1,1,0,0,0,0,0,0,0,0,1526,0,0,0,0,0,0,0,1,4,0,1,0,0,0,4,0,0,1,66,0,1,0,1,2,0,0,1,1,0,0
"77",1,0,0,0,42,0,1,0,0,0,0,0,1,0,0,0,0,0,3965,0,0,0,0,1,0,0,0,4,0,1,0,0,0,3,0,1,0,34,0,1,1,0,1,0,1,0,1,0,0
"78",0,1,0,0,11,0,0,1,0,0,0,0,1,0,0,0,0,0,4771,0,0,0,0,0,0,1,0,2,0,1,0,0,0,4,1,0,0,51,0,1,1,0,1,0,1,0,1,0,0
"79",0,0,0,1,54,0,0,0,0,1,0,0,0,0,0,0,0,0,9436,0,0,0,1,0,1,0,0,2,0,1,0,0,0,2,1,0,0,39,0,1,1,0,1,1,0,0,2,0,0
"80",0,1,0,0,30,0,1,0,0,0,0,1,0,0,0,0,0,0,3832,0,0,0,0,1,0,0,0,2,0,0,1,0,0,1,1,0,0,22,0,1,1,0,1,0,1,0,1,0,0
"81",0,0,0,1,24,0,1,0,0,0,0,0,1,0,0,0,0,0,5943,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,1,0,44,0,1,1,0,2,0,1,0,1,1,0
"82",0,0,0,1,15,0,1,0,0,0,0,0,1,0,0,0,0,0,1213,0,1,0,0,0,0,0,1,4,0,1,0,0,0,3,1,0,0,47,1,0,1,0,1,0,1,0,1,1,0
"83",0,0,0,1,18,0,1,0,0,0,0,0,0,0,0,0,0,1,1568,1,0,0,0,0,1,0,0,3,1,0,0,0,0,4,1,0,0,24,0,1,0,0,1,1,0,0,1,0,0
"84",1,0,0,0,24,0,1,0,0,0,1,0,0,0,0,0,0,0,1755,0,0,0,0,0,0,0,1,4,1,0,0,0,1,4,0,0,0,58,0,1,1,0,1,1,0,0,1,1,0
"85",1,0,0,0,10,0,1,0,0,0,0,0,1,0,0,0,0,0,2315,0,0,0,0,0,0,0,1,3,0,1,0,0,0,4,0,0,0,52,0,1,1,0,1,1,0,0,1,0,0
"86",0,0,0,1,12,0,0,0,1,0,0,0,0,0,0,0,0,1,1412,0,0,0,0,0,1,0,0,4,1,0,0,0,1,2,0,0,0,29,0,1,1,0,2,0,0,1,1,1,0
"87",0,1,0,0,18,0,0,0,1,0,0,1,0,0,0,0,0,0,1295,0,0,0,0,1,0,0,0,4,1,0,0,0,0,1,1,0,0,27,0,1,1,0,2,0,1,0,1,0,0
"88",0,1,0,0,36,0,1,0,0,0,0,0,0,0,0,1,0,0,12612,1,0,0,0,0,1,0,0,1,0,1,0,0,0,4,0,0,1,47,0,1,0,1,1,0,1,0,2,1,0
"89",1,0,0,0,18,0,1,0,0,0,0,0,0,0,0,0,0,0,2249,1,0,0,0,0,0,1,0,4,0,1,0,0,0,3,0,1,0,30,0,1,1,0,1,0,0,1,2,1,0
"90",1,0,0,0,12,0,0,0,0,0,0,0,0,0,1,0,0,0,1108,0,0,0,0,0,0,1,0,4,0,1,0,0,0,3,0,0,0,28,0,1,1,0,2,0,1,0,1,0,0
"91",0,0,0,1,12,0,0,0,1,0,0,0,1,0,0,0,0,0,618,0,0,0,0,0,0,0,1,4,0,1,0,0,0,4,0,0,0,56,0,1,1,0,1,0,1,0,1,0,0
"92",1,0,0,0,12,0,0,0,1,1,0,0,0,0,0,0,0,0,1409,0,0,0,0,0,0,0,1,4,0,1,0,0,0,3,0,0,0,54,0,1,1,0,1,0,1,0,1,0,0
"93",0,0,0,1,12,0,0,0,1,0,0,0,1,0,0,0,0,0,797,0,0,0,1,0,0,0,1,4,1,0,0,0,0,3,1,0,0,33,0,0,1,0,1,1,0,0,2,0,0
"94",0,0,1,0,24,0,0,0,1,0,0,1,0,0,0,0,0,0,3617,0,0,0,1,0,0,0,1,4,0,1,0,1,0,4,0,0,1,20,0,1,0,0,2,0,1,0,1,0,0
"95",0,1,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,1318,0,0,1,0,0,0,0,1,4,0,1,0,0,0,4,0,0,0,54,0,1,1,0,1,0,1,0,1,1,0
"96",0,1,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,1,15945,0,0,0,0,1,0,0,0,3,0,1,0,0,0,4,0,0,1,58,0,1,0,0,1,0,1,0,1,1,0
"97",0,0,0,1,12,0,0,0,1,0,0,0,0,0,0,1,0,0,2012,0,0,0,1,0,0,1,0,4,1,0,0,0,0,2,0,1,0,61,0,1,1,0,1,0,1,0,1,0,0
"98",0,1,0,0,18,0,1,0,0,0,0,0,0,0,0,0,0,1,2622,1,0,0,0,0,1,0,0,4,0,1,0,0,0,4,0,1,0,34,0,1,1,0,1,0,1,0,1,0,0
"99",0,1,0,0,36,0,0,0,1,0,0,0,1,0,0,0,0,0,2337,0,0,0,0,0,0,0,1,4,0,1,0,0,0,4,0,0,0,36,0,1,1,0,1,0,1,0,1,0,0
"100",0,1,0,0,20,0,0,1,0,1,0,0,0,0,0,0,0,0,7057,0,0,0,1,0,0,1,0,3,0,1,0,0,0,4,1,0,0,36,0,0,0,0,2,0,0,1,2,1,0
"101",0,0,0,1,24,0,1,0,0,0,0,0,0,0,0,0,0,0,1469,1,0,0,0,0,0,0,1,4,0,0,1,0,0,4,0,0,0,41,0,1,0,0,1,1,0,0,1,0,0
"102",0,1,0,0,36,0,1,0,0,0,0,0,1,0,0,0,0,0,2323,0,0,0,0,0,0,1,0,4,0,1,0,0,0,4,0,1,0,24,0,1,0,0,1,0,1,0,1,0,0
"103",0,0,0,1,6,0,0,1,0,0,0,0,1,0,0,0,0,0,932,0,0,0,0,0,1,0,0,3,1,0,0,0,0,2,0,0,0,24,0,1,1,0,1,0,1,0,1,0,0
"104",0,1,0,0,9,0,0,0,1,0,0,1,0,0,0,0,0,0,1919,0,0,0,0,0,0,1,0,4,0,1,0,0,0,3,0,1,0,35,0,1,0,0,1,0,1,0,1,1,0
"105",0,0,0,1,12,0,1,0,0,1,0,0,0,0,0,0,0,0,2445,0,0,0,1,1,0,0,0,2,0,0,1,0,0,4,0,1,0,26,0,1,0,0,1,0,1,0,1,1,0
"106",0,1,0,0,24,0,0,0,1,0,1,0,0,0,0,0,0,0,11938,0,0,0,0,0,1,0,0,2,0,1,0,1,0,3,0,1,0,39,0,1,1,0,2,0,0,1,2,1,0
"107",0,0,0,1,18,1,0,0,0,0,0,0,0,0,0,0,0,0,6458,0,0,0,0,0,0,0,1,2,0,1,0,0,0,4,0,0,1,39,0,0,1,0,2,0,0,1,2,1,0
"108",0,1,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,6078,0,0,0,0,0,0,1,0,2,0,1,0,0,0,2,0,1,0,32,0,1,1,0,1,0,1,0,1,0,0
"109",1,0,0,0,24,0,1,0,0,0,0,1,0,0,0,0,0,0,7721,0,0,0,1,1,0,0,0,1,1,0,0,0,0,2,1,0,0,30,0,1,1,0,1,0,1,0,1,1,1
"110",0,1,0,0,14,0,1,0,0,0,0,0,0,0,0,0,0,1,1410,0,1,0,0,0,0,0,1,1,0,0,1,0,0,2,0,0,0,35,0,1,1,0,1,0,1,0,1,1,0
"111",0,1,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,1,1449,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,1,0,31,0,0,1,0,2,0,1,0,2,0,0
"112",0,0,1,0,15,0,1,0,0,0,0,0,0,0,0,1,0,0,392,0,0,0,0,1,0,0,0,4,1,0,0,0,0,4,1,0,0,23,0,1,0,0,1,0,1,0,1,1,0
"113",0,1,0,0,18,0,1,0,0,0,0,0,0,0,0,0,0,0,6260,0,0,0,0,0,0,1,0,3,0,1,0,0,0,3,0,0,0,28,0,1,0,0,1,1,0,0,1,0,0
"114",0,0,0,1,36,0,0,0,1,0,0,0,0,0,0,0,0,0,7855,0,0,0,0,0,1,0,0,4,1,0,0,0,0,2,0,0,0,25,1,0,1,0,2,0,1,0,1,1,0
"115",1,0,0,0,12,0,1,0,0,0,0,0,1,0,0,0,0,0,1680,0,1,0,0,0,0,0,1,3,0,0,1,0,0,1,0,0,0,35,0,1,1,0,1,0,1,0,1,0,0
"116",0,0,0,1,48,0,0,0,1,0,0,0,1,0,0,0,0,0,3578,0,0,0,1,0,0,0,1,4,0,1,0,0,0,1,0,0,0,47,0,1,1,0,1,0,1,0,1,1,0
"117",1,0,0,0,42,0,1,0,0,0,0,0,1,0,0,0,0,0,7174,0,0,0,1,0,0,1,0,4,1,0,0,0,0,3,0,1,0,30,0,1,1,0,1,0,0,1,1,1,0
"118",1,0,0,0,10,0,0,0,1,0,0,1,0,0,0,0,0,0,2132,0,0,0,1,1,0,0,0,2,1,0,0,1,0,3,0,0,0,27,0,1,0,0,2,0,1,0,1,0,1
"119",1,0,0,0,33,0,0,0,1,0,0,1,0,0,0,0,0,0,4281,0,1,0,0,0,1,0,0,1,1,0,0,0,0,4,0,1,0,23,0,1,1,0,2,0,1,0,1,0,0
"120",0,1,0,0,12,0,0,0,1,0,0,0,0,0,0,0,0,0,2366,0,1,0,0,0,0,1,0,3,0,0,0,0,0,3,0,1,0,36,0,1,1,0,1,0,0,1,1,1,0
"121",1,0,0,0,21,0,1,0,0,0,0,0,1,0,0,0,0,0,1835,0,0,0,0,0,1,0,0,3,1,0,0,0,0,2,0,0,0,25,0,1,1,0,2,0,1,0,1,1,0
"122",0,0,0,1,24,0,0,0,1,1,0,0,0,0,0,0,0,0,3868,0,0,0,0,0,0,0,1,4,1,0,0,0,0,2,0,1,0,41,0,1,0,0,2,0,0,1,1,1,0
"123",0,0,0,1,12,0,1,0,0,0,0,1,0,0,0,0,0,0,1768,0,0,0,0,0,1,0,0,3,0,1,0,0,0,2,0,0,0,24,0,1,0,0,1,1,0,0,1,0,0
"124",0,0,1,0,10,0,0,0,1,0,0,0,0,0,0,0,0,0,781,0,0,0,0,0,0,0,1,4,0,1,0,0,0,4,0,0,1,63,0,1,0,1,2,0,1,0,1,1,0
"125",0,1,0,0,18,0,1,0,0,0,0,1,0,0,0,0,0,0,1924,0,0,0,1,1,0,0,0,4,1,0,0,0,0,3,0,0,0,27,0,1,0,0,1,0,1,0,1,0,0
"126",1,0,0,0,12,0,0,0,1,0,0,0,0,0,0,0,0,0,2121,0,0,0,0,0,1,0,0,4,0,1,0,0,0,2,1,0,0,30,0,1,1,0,2,0,1,0,1,0,0
"127",1,0,0,0,12,0,1,0,0,0,0,0,1,0,0,0,0,0,701,0,0,0,0,0,1,0,0,4,0,0,1,0,0,2,0,0,0,40,0,1,1,0,1,1,0,0,1,0,0
"128",0,1,0,0,12,0,1,0,0,0,0,0,0,0,1,0,0,0,639,0,0,0,0,0,1,0,0,4,0,1,0,0,0,2,0,1,0,30,0,1,1,0,1,0,1,0,1,0,0
"129",0,1,0,0,12,0,0,0,1,1,0,0,0,0,0,0,0,0,1860,0,0,0,0,0,0,0,0,4,0,1,0,0,0,2,0,1,0,34,0,1,1,0,2,0,0,1,1,1,0
"130",1,0,0,0,12,0,0,0,1,0,0,0,0,0,0,0,0,0,3499,0,0,0,0,0,1,0,0,3,1,0,0,1,0,2,0,0,0,29,0,1,1,0,2,0,1,0,1,0,0
"131",0,1,0,0,48,0,1,0,0,0,0,0,0,0,0,0,0,0,8487,0,0,0,1,0,0,1,0,1,1,0,0,0,0,2,0,1,0,24,0,1,1,0,1,0,1,0,1,0,0
"132",1,0,0,0,36,0,0,1,0,0,0,0,0,0,0,1,0,0,6887,0,0,0,0,0,1,0,0,4,0,1,0,0,0,3,1,0,0,29,1,0,1,0,1,0,1,0,1,1,0
