"","cap_shape","cap_surface","cap_color","bruises","odor","gill_attachment","gill_spacing","gill_size","gill_color","stalk_shape","stalk_root","stalk_surface_above_ring","stalk_surface_below_ring","stalk_color_above_ring","stalk_color_below_ring","veil_color","ring_number","ring_type","spore_print_color","population","habitat"
"141","x","y","n","t","a","f","c","b","w","e","r","s","y","w","w","w","o","p","k","y","p"
"142","b","y","y","t","l","f","c","b","g","e","c","s","s","w","w","w","o","p","k","n","m"
"143","s","f","n","f","n","f","c","n","k","e","e","s","s","w","w","w","o","p","n","v","u"
"144","f","y","n","t","a","f","c","b","w","e","r","s","y","w","w","w","o","p","k","y","p"
"145","x","y","y","t","a","f","c","b","k","e","c","s","s","w","w","w","o","p","k","n","g"
"146","x","f","g","f","n","f","w","b","k","t","e","f","f","w","w","w","o","e","k","s","g"
"147","f","f","w","f","n","f","w","b","k","t","e","s","f","w","w","w","o","e","n","a","g"
"148","x","y","y","t","l","f","c","b","w","e","c","s","s","w","w","w","o","p","n","n","m"
"149","b","s","y","t","l","f","c","b","k","e","c","s","s","w","w","w","o","p","k","n","g"
"150","b","y","w","t","a","f","c","b","g","e","c","s","s","w","w","w","o","p","k","n","m"
"151","x","y","w","t","a","f","c","b","w","e","c","s","s","w","w","w","o","p","n","s","g"
"152","x","s","n","f","n","f","w","b","p","t","e","f","s","w","w","w","o","e","n","a","g"
"153","x","y","w","t","l","f","c","b","g","e","c","s","s","w","w","w","o","p","n","s","g"
"154","s","f","n","f","n","f","c","n","k","e","e","s","s","w","w","w","o","p","k","v","u"
"155","x","s","w","t","a","f","w","n","w","t","b","s","s","w","w","w","o","p","u","v","d"
"156","x","y","n","t","l","f","c","b","w","e","r","s","y","w","w","w","o","p","k","s","g"
"157","b","y","y","t","a","f","c","b","k","e","c","s","s","w","w","w","o","p","n","n","g"
"158","x","y","w","t","a","f","c","b","k","e","c","s","s","w","w","w","o","p","n","n","g"
"159","b","y","w","t","a","f","c","b","n","e","c","s","s","w","w","w","o","p","k","s","m"
"160","b","s","y","t","a","f","c","b","g","e","c","s","s","w","w","w","o","p","k","s","g"
"161","b","s","y","t","l","f","c","b","g","e","c","s","s","w","w","w","o","p","k","s","m"
"162","b","y","y","t","a","f","c","b","n","e","c","s","s","w","w","w","o","p","k","n","g"
"163","x","f","n","f","n","f","c","n","k","e","e","s","s","w","w","w","o","p","n","y","u"
"164","f","y","n","t","l","f","c","b","n","e","r","s","y","w","w","w","o","p","n","y","g"
"165","x","y","w","t","a","f","c","b","k","e","c","s","s","w","w","w","o","p","n","s","g"
"166","f","y","y","t","l","f","c","b","w","e","r","s","y","w","w","w","o","p","n","y","p"
"167","b","s","w","t","a","f","c","b","w","e","c","s","s","w","w","w","o","p","n","s","g"
"168","b","s","w","t","a","f","c","b","w","e","c","s","s","w","w","w","o","p","k","s","m"
"169","x","y","n","t","l","f","c","b","w","e","r","s","y","w","w","w","o","p","k","y","g"
"170","b","s","w","t","a","f","c","b","k","e","c","s","s","w","w","w","o","p","k","s","g"
"171","x","f","g","f","n","f","c","n","g","e","e","s","s","w","w","w","o","p","n","y","u"
"172","b","s","y","t","l","f","c","b","k","e","c","s","s","w","w","w","o","p","n","s","g"
"173","x","f","y","t","l","f","w","n","n","t","b","s","s","w","w","w","o","p","u","v","d"
"174","b","y","y","t","a","f","c","b","w","e","c","s","s","w","w","w","o","p","k","s","g"
"175","f","y","y","t","l","f","c","b","p","e","r","s","y","w","w","w","o","p","n","s","g"
"176","b","y","w","t","l","f","c","b","w","e","c","s","s","w","w","w","o","p","k","n","m"
"177","b","y","w","t","a","f","c","b","k","e","c","s","s","w","w","w","o","p","k","n","m"
"178","b","y","y","t","a","f","c","b","g","e","c","s","s","w","w","w","o","p","n","s","g"
"179","x","y","y","t","l","f","c","b","g","e","c","s","s","w","w","w","o","p","n","n","m"
"180","b","s","y","t","l","f","c","b","g","e","c","s","s","w","w","w","o","p","n","n","g"
"181","x","y","w","t","p","f","c","n","p","e","e","s","s","w","w","w","o","p","n","v","u"
"182","s","f","n","f","n","f","c","n","g","e","e","s","s","w","w","w","o","p","n","y","u"
"183","f","f","n","f","n","f","c","n","g","e","e","s","s","w","w","w","o","p","k","v","u"
"184","x","s","y","t","a","f","c","b","g","e","c","s","s","w","w","w","o","p","n","s","m"
"185","f","y","n","t","a","f","c","b","p","e","r","s","y","w","w","w","o","p","k","s","p"
"186","x","y","w","t","p","f","c","n","k","e","e","s","s","w","w","w","o","p","k","s","g"
"187","b","s","w","t","l","f","c","b","g","e","c","s","s","w","w","w","o","p","n","s","m"
"188","f","f","g","f","n","f","c","n","p","e","e","s","s","w","w","w","o","p","k","v","u"
"189","b","y","y","t","l","f","c","b","g","e","c","s","s","w","w","w","o","p","n","n","g"
"190","x","y","n","t","a","f","c","b","w","e","r","s","y","w","w","w","o","p","n","y","p"
"191","x","f","w","f","n","f","w","b","p","t","e","s","f","w","w","w","o","e","k","s","g"
"192","x","s","w","t","l","f","w","n","w","t","b","s","s","w","w","w","o","p","n","v","d"
"193","b","s","w","t","l","f","c","b","w","e","c","s","s","w","w","w","o","p","n","s","m"
"194","f","s","y","t","a","f","w","n","w","t","b","s","s","w","w","w","o","p","n","v","d"
"195","x","s","y","t","a","f","c","b","k","e","c","s","s","w","w","w","o","p","n","n","m"
"196","f","f","g","f","n","f","c","n","g","e","e","s","s","w","w","w","o","p","n","y","u"
"197","b","s","y","t","a","f","c","b","n","e","c","s","s","w","w","w","o","p","k","s","g"
"198","x","s","w","t","l","f","c","b","g","e","c","s","s","w","w","w","o","p","n","n","m"
"199","x","y","w","t","l","f","c","b","n","e","c","s","s","w","w","w","o","p","n","s","m"
"200","f","s","w","t","a","f","w","n","n","t","b","s","s","w","w","w","o","p","n","v","d"
"201","x","y","y","t","l","f","c","b","w","e","c","s","s","w","w","w","o","p","n","s","g"
"202","b","s","w","t","l","f","c","b","w","e","c","s","s","w","w","w","o","p","k","s","g"
"203","x","s","w","t","a","f","c","b","g","e","c","s","s","w","w","w","o","p","k","n","g"
"204","x","f","w","f","n","f","w","b","h","t","e","f","s","w","w","w","o","e","k","s","g"
"205","f","y","n","t","l","f","c","b","n","e","r","s","y","w","w","w","o","p","k","y","p"
"206","x","s","w","t","p","f","c","n","k","e","e","s","s","w","w","w","o","p","n","v","u"
"207","b","s","w","t","a","f","c","b","n","e","c","s","s","w","w","w","o","p","n","n","g"
"208","b","s","w","t","a","f","c","b","k","e","c","s","s","w","w","w","o","p","k","s","m"
"209","b","y","w","t","l","f","c","b","n","e","c","s","s","w","w","w","o","p","n","n","g"
"210","b","y","w","t","a","f","c","b","w","e","c","s","s","w","w","w","o","p","k","n","g"
"211","x","s","y","t","a","f","c","b","w","e","c","s","s","w","w","w","o","p","k","s","g"
"212","b","s","w","t","l","f","c","b","w","e","c","s","s","w","w","w","o","p","k","n","m"
"213","x","f","y","t","a","f","w","n","n","t","b","s","s","w","w","w","o","p","n","v","d"
"214","x","f","g","f","n","f","c","n","n","e","e","s","s","w","w","w","o","p","n","y","u"
"215","f","y","y","t","a","f","c","b","n","e","r","s","y","w","w","w","o","p","n","s","g"
"216","b","s","w","t","l","f","c","b","n","e","c","s","s","w","w","w","o","p","k","n","m"
"217","x","s","y","t","a","f","c","b","g","e","c","s","s","w","w","w","o","p","k","s","g"
"218","x","y","y","t","a","f","c","b","k","e","c","s","s","w","w","w","o","p","k","s","g"
"219","x","y","w","t","l","f","c","b","w","e","c","s","s","w","w","w","o","p","n","s","g"
"220","s","f","g","f","n","f","c","n","p","e","e","s","s","w","w","w","o","p","n","v","u"
"221","x","s","w","t","a","f","c","b","n","e","c","s","s","w","w","w","o","p","n","n","m"
"222","x","s","w","t","p","f","c","n","k","e","e","s","s","w","w","w","o","p","k","s","g"
"223","x","y","y","t","a","f","c","b","n","e","r","s","y","w","w","w","o","p","n","s","g"
"224","f","f","w","t","a","f","w","n","p","t","b","s","s","w","w","w","o","p","n","v","d"
"225","x","y","w","t","l","f","c","b","g","e","c","s","s","w","w","w","o","p","k","n","m"
"226","b","y","w","t","l","f","c","b","n","e","c","s","s","w","w","w","o","p","k","s","g"
"227","x","s","w","t","a","f","c","b","g","e","c","s","s","w","w","w","o","p","n","n","g"
"228","x","s","y","t","a","f","c","b","g","e","c","s","s","w","w","w","o","p","n","s","g"
"229","x","y","n","t","p","f","c","n","p","e","e","s","s","w","w","w","o","p","k","v","u"
"230","b","s","y","t","a","f","c","b","n","e","c","s","s","w","w","w","o","p","n","n","g"
"231","x","f","g","f","n","f","c","n","n","e","e","s","s","w","w","w","o","p","k","y","u"
"232","x","y","w","t","p","f","c","n","k","e","e","s","s","w","w","w","o","p","k","s","u"
"233","x","y","y","t","l","f","c","b","n","e","r","s","y","w","w","w","o","p","n","y","p"
"234","f","f","n","f","n","f","c","n","k","e","e","s","s","w","w","w","o","p","k","v","u"
"235","b","s","w","t","l","f","c","b","k","e","c","s","s","w","w","w","o","p","n","n","g"
"236","x","f","w","t","l","f","w","n","w","t","b","s","s","w","w","w","o","p","n","v","d"
"237","x","y","w","t","l","f","c","b","w","e","c","s","s","w","w","w","o","p","k","s","g"
"238","b","y","y","t","l","f","c","b","n","e","c","s","s","w","w","w","o","p","n","s","g"
"239","x","y","y","t","l","f","c","b","n","e","r","s","y","w","w","w","o","p","k","s","g"
"240","f","y","y","t","a","f","c","b","p","e","r","s","y","w","w","w","o","p","k","s","p"
"241","f","y","y","t","a","f","c","b","w","e","r","s","y","w","w","w","o","p","k","y","p"
"242","x","s","w","t","l","f","c","b","w","e","c","s","s","w","w","w","o","p","k","s","g"
"243","x","s","w","t","a","f","c","b","w","e","c","s","s","w","w","w","o","p","n","n","m"
"244","x","s","w","t","p","f","c","n","n","e","e","s","s","w","w","w","o","p","k","v","u"
"245","f","f","w","t","a","f","w","n","p","t","b","s","s","w","w","w","o","p","u","v","d"
"246","x","s","w","t","l","f","c","b","w","e","c","s","s","w","w","w","o","p","n","s","g"
"247","x","s","w","t","l","f","w","n","p","t","b","s","s","w","w","w","o","p","u","v","d"
"248","x","y","w","t","a","f","c","b","n","e","c","s","s","w","w","w","o","p","k","s","m"
"249","f","y","y","t","l","f","c","b","w","e","r","s","y","w","w","w","o","p","k","y","p"
"250","x","s","n","f","n","f","w","b","p","t","e","f","s","w","w","w","o","e","k","s","g"
"251","f","y","y","t","a","f","c","b","w","e","r","s","y","w","w","w","o","p","n","y","g"
"252","x","s","n","t","p","f","c","n","p","e","e","s","s","w","w","w","o","p","n","s","g"
"253","s","f","n","f","n","f","c","n","g","e","e","s","s","w","w","w","o","p","n","v","u"
"254","b","y","y","t","l","f","c","b","w","e","c","s","s","w","w","w","o","p","n","s","m"
"255","b","s","w","t","l","f","c","b","n","e","c","s","s","w","w","w","o","p","n","s","g"
"256","b","y","w","t","l","f","c","b","k","e","c","s","s","w","w","w","o","p","n","n","m"
"257","f","f","n","f","n","f","c","n","k","e","e","s","s","w","w","w","o","p","n","v","u"
"258","x","s","w","t","a","f","c","b","w","e","c","s","s","w","w","w","o","p","k","n","m"
"259","b","y","w","t","l","f","c","b","g","e","c","s","s","w","w","w","o","p","k","n","g"
"260","b","y","w","t","a","f","c","b","g","e","c","s","s","w","w","w","o","p","n","n","m"
"261","f","y","n","t","l","f","c","b","w","e","r","s","y","w","w","w","o","p","n","s","g"
"262","x","y","w","t","p","f","c","n","k","e","e","s","s","w","w","w","o","p","k","v","g"
"263","x","s","w","t","a","f","c","b","n","e","c","s","s","w","w","w","o","p","n","n","g"
"264","x","y","w","t","a","f","c","b","n","e","c","s","s","w","w","w","o","p","n","s","m"
"265","f","f","w","t","l","f","w","n","w","t","b","s","s","w","w","w","o","p","u","v","d"
"266","f","f","g","f","n","f","c","n","g","e","e","s","s","w","w","w","o","p","k","v","u"
"267","f","s","g","f","n","f","w","b","p","t","e","s","s","w","w","w","o","e","k","a","g"
"268","x","y","y","t","a","f","c","b","g","e","c","s","s","w","w","w","o","p","n","s","m"
"269","b","s","w","t","a","f","c","b","k","e","c","s","s","w","w","w","o","p","n","s","m"
"270","f","y","n","t","p","f","c","n","w","e","e","s","s","w","w","w","o","p","k","s","u"
"271","x","s","w","t","l","f","c","b","n","e","c","s","s","w","w","w","o","p","k","n","m"
"272","f","s","n","t","p","f","c","n","w","e","e","s","s","w","w","w","o","p","k","v","u"
"273","x","y","w","t","l","f","c","b","k","e","c","s","s","w","w","w","o","p","n","s","g"
"274","x","y","y","t","a","f","c","b","k","e","c","s","s","w","w","w","o","p","n","n","m"
"275","f","y","y","t","a","f","c","b","n","e","r","s","y","w","w","w","o","p","n","s","p"
"276","x","y","n","t","a","f","c","b","w","e","r","s","y","w","w","w","o","p","n","s","p"
"277","f","y","n","t","a","f","c","b","w","e","r","s","y","w","w","w","o","p","n","y","g"
"278","x","y","w","t","a","f","c","b","w","e","c","s","s","w","w","w","o","p","n","n","m"
"279","f","f","n","f","n","f","w","b","h","t","e","s","s","w","w","w","o","e","k","s","g"
"280","x","s","y","t","l","f","c","b","k","e","c","s","s","w","w","w","o","p","n","n","m"
"281","x","y","w","t","p","f","c","n","w","e","e","s","s","w","w","w","o","p","n","s","g"
"282","b","y","y","t","a","f","c","b","n","e","c","s","s","w","w","w","o","p","n","n","m"
"283","s","f","n","f","n","f","c","n","p","e","e","s","s","w","w","w","o","p","n","v","u"
"284","x","s","y","t","l","f","c","b","k","e","c","s","s","w","w","w","o","p","k","s","m"
"285","b","y","w","t","l","f","c","b","n","e","c","s","s","w","w","w","o","p","k","n","m"
"286","f","y","n","t","a","f","c","b","n","e","r","s","y","w","w","w","o","p","k","s","g"
"287","b","y","y","t","a","f","c","b","g","e","c","s","s","w","w","w","o","p","k","s","m"
"288","b","y","w","t","a","f","c","b","g","e","c","s","s","w","w","w","o","p","k","s","g"
"289","x","y","n","t","l","f","c","b","n","e","r","s","y","w","w","w","o","p","n","y","p"
"290","f","f","g","f","n","f","c","n","p","e","e","s","s","w","w","w","o","p","n","y","u"
"291","x","f","g","f","n","f","c","n","g","e","e","s","s","w","w","w","o","p","k","y","u"
"292","b","y","y","t","l","f","c","b","n","e","c","s","s","w","w","w","o","p","k","s","g"
"293","x","s","y","t","l","f","c","b","n","e","c","s","s","w","w","w","o","p","k","s","m"
"294","b","y","w","t","l","f","c","b","k","e","c","s","s","w","w","w","o","p","n","s","g"
"295","x","s","w","t","a","f","c","b","g","e","c","s","s","w","w","w","o","p","k","s","m"
"296","b","s","y","t","a","f","c","b","g","e","c","s","s","w","w","w","o","p","n","n","m"
"297","x","s","y","t","a","f","c","b","k","e","c","s","s","w","w","w","o","p","k","s","m"
"298","x","f","g","f","n","f","w","b","p","t","e","f","f","w","w","w","o","e","k","s","g"
